Report Type,Service Name,Service ID,Service Type,Depends On (Target),Dependency ID
Active Relationship,DTV Darwin,P7OLAU7,Business,ABC TV KIDSFamily-DTV-Darwin,D2G7JXMZ7MZINGGEO3A
Active Relationship,DTV Darwin,P7OLAU7,Business,ABC TV SD-DTV-Darwin,D2G7JXMZ7MZINGGEO3K
Active Relationship,DTV Darwin,P7OLAU7,Business,ABC TV HD-DTV-Darwin,D2G7JXMZ7MZINGGEO3S
Active Relationship,DTV Darwin,P7OLAU7,Business,ABC Entertains-DTV-Darwin,D2G7JXMZ7MZINGGEO32
Active Relationship,DTV Hobart,P3CAZEH,Business,ABC News-DTV-Hobart,D2G7JXQVD10JPML74VK
Active Relationship,DTV Hobart,P3CAZEH,Business,ABC Entertains-DTV-Hobart,D2G7JXQVD10JPML74VS
Active Relationship,DTV Hobart,P3CAZEH,Business,ABC TV SD-DTV-Hobart,D2G7JXQVD10JPML74VU
Active Relationship,DTV Hobart,P3CAZEH,Business,ABC TV HD-DTV-Hobart,D2G7JXQVD10JPML74WD
Active Relationship,DTV Hobart,P3CAZEH,Business,ABC TV KIDSFamily-DTV-Hobart,D2G7JXQVD10JPML74VG
Active Relationship,DTV Melbourne,P03PZ2U,Business,ABC News-DTV-Melbourne,D2G7JXURIF1KRSPZLOB
Active Relationship,DTV Melbourne,P03PZ2U,Business,ABC TV KIDSFamily-DTV-Melbourne,D2G7JXURIF1KRSPZLOH
Active Relationship,DTV Melbourne,P03PZ2U,Business,ABC TV SD-DTV-Melbourne,D2G7JXURIF1KRSPZLOU
Active Relationship,DTV Melbourne,P03PZ2U,Business,ABC TV HD-DTV-Melbourne,D2G7JXURIF1KRSPZLOZ
Active Relationship,DTV Melbourne,P03PZ2U,Business,ABC Entertains-DTV-Melbourne,D2G7JXURIF1KRSPZLO9
Active Relationship,DTV Perth,PIMYZPB,Business,ABC News-DTV-Perth,D2G7JXYNNT2LTYUS2GT
Active Relationship,DTV Perth,PIMYZPB,Business,ABC Entertains-DTV-Perth,D2G7JXYNNT2LTYUS2GZ
Active Relationship,DTV Perth,PIMYZPB,Business,ABC TV SD-DTV-Perth,D2G7JXYNNT2LTYUS2H0
Active Relationship,DTV Perth,PIMYZPB,Business,ABC TV KIDSFamily-DTV-Perth,D2G7JXYNNT2LTYUS2HD
Active Relationship,DTV Perth,PIMYZPB,Business,ABC TV HD-DTV-Perth,D2G7JXYNNT2LTYUS2GS
